,No_Species,Community,Lineage,Invasibility,Diversity
0,4.0,0.0,0.0,0.0,2.0
1,4.0,0.0,1.0,0.0,2.0
2,4.0,0.0,2.0,0.0,2.0
3,4.0,0.0,3.0,0.0,2.0
4,4.0,0.0,4.0,0.0,2.0
5,4.0,1.0,0.0,0.0,3.0
6,4.0,1.0,1.0,0.0,3.0
7,4.0,1.0,2.0,0.0,3.0
8,4.0,1.0,3.0,0.0,3.0
9,4.0,1.0,4.0,0.0,3.0
10,4.0,2.0,0.0,0.0,2.0
11,4.0,2.0,1.0,0.0,2.0
12,4.0,2.0,2.0,0.0,2.0
13,4.0,2.0,3.0,0.0,2.0
14,4.0,2.0,4.0,0.0,2.0
15,4.0,3.0,0.0,0.0,3.0
16,4.0,3.0,1.0,0.0,3.0
17,4.0,3.0,2.0,0.0,3.0
18,4.0,3.0,3.0,0.0,3.0
19,4.0,3.0,4.0,0.0,3.0
20,4.0,4.0,0.0,0.0,3.0
21,4.0,4.0,1.0,0.0,3.0
22,4.0,4.0,2.0,0.0,3.0
23,4.0,4.0,3.0,0.0,3.0
24,4.0,4.0,4.0,0.0,3.0
25,4.0,5.0,0.0,0.0,3.0
26,4.0,5.0,1.0,0.0,3.0
27,4.0,5.0,2.0,0.0,3.0
28,4.0,5.0,3.0,0.0,3.0
29,4.0,5.0,4.0,0.0,3.0
30,7.0,0.0,0.0,0.0,3.0
31,7.0,0.0,1.0,0.0,3.0
32,7.0,0.0,2.0,0.0,3.0
33,7.0,0.0,3.0,0.0,3.0
34,7.0,0.0,4.0,0.0,3.0
35,7.0,1.0,0.0,0.0,3.0
36,7.0,1.0,1.0,0.0,3.0
37,7.0,1.0,2.0,0.0,3.0
38,7.0,1.0,3.0,0.0,3.0
39,7.0,1.0,4.0,0.0,3.0
40,7.0,2.0,0.0,0.0,3.0
41,7.0,2.0,1.0,0.0,3.0
42,7.0,2.0,2.0,0.0,3.0
43,7.0,2.0,3.0,0.0,3.0
44,7.0,2.0,4.0,0.0,3.0
45,7.0,3.0,0.0,0.0,3.0
46,7.0,3.0,1.0,0.0,3.0
47,7.0,3.0,2.0,0.0,3.0
48,7.0,3.0,3.0,0.0,3.0
49,7.0,3.0,4.0,0.0,3.0
50,7.0,4.0,0.0,0.0,4.0
51,7.0,4.0,1.0,0.0,4.0
52,7.0,4.0,2.0,0.0,4.0
53,7.0,4.0,3.0,0.0,4.0
54,7.0,4.0,4.0,0.0,4.0
55,7.0,5.0,0.0,0.0,4.0
56,7.0,5.0,1.0,0.0,4.0
57,7.0,5.0,2.0,0.0,4.0
58,7.0,5.0,3.0,0.0,4.0
59,7.0,5.0,4.0,0.0,4.0
60,10.0,0.0,0.0,0.0,4.0
61,10.0,0.0,1.0,0.0,4.0
62,10.0,0.0,2.0,0.0,4.0
63,10.0,0.0,3.0,0.0,4.0
64,10.0,0.0,4.0,0.0,4.0
65,10.0,1.0,0.0,0.0,5.0
66,10.0,1.0,1.0,0.0,5.0
67,10.0,1.0,2.0,0.0,5.0
68,10.0,1.0,3.0,0.0,5.0
69,10.0,1.0,4.0,0.0,5.0
70,10.0,2.0,0.0,0.0,4.0
71,10.0,2.0,1.0,0.0,4.0
72,10.0,2.0,2.0,0.0,4.0
73,10.0,2.0,3.0,0.0,4.0
74,10.0,2.0,4.0,0.0,4.0
75,10.0,3.0,0.0,0.0,3.0
76,10.0,3.0,1.0,0.0,6.0
77,10.0,3.0,2.0,0.0,6.0
78,10.0,3.0,3.0,0.0,6.0
79,10.0,3.0,4.0,0.0,6.0
80,10.0,4.0,0.0,0.0,4.0
81,10.0,4.0,1.0,0.0,4.0
82,10.0,4.0,2.0,0.0,4.0
83,10.0,4.0,3.0,0.0,4.0
84,10.0,4.0,4.0,0.0,4.0
85,10.0,5.0,0.0,0.0,5.0
86,10.0,5.0,1.0,0.0,5.0
87,10.0,5.0,2.0,0.0,5.0
88,10.0,5.0,3.0,0.0,5.0
89,10.0,5.0,4.0,0.0,5.0
90,13.0,0.0,0.0,0.0,5.0
91,13.0,0.0,1.0,0.0,5.0
92,13.0,0.0,2.0,0.0,5.0
93,13.0,0.0,3.0,0.0,5.0
94,13.0,0.0,4.0,0.0,5.0
95,13.0,1.0,0.0,0.0,5.0
96,13.0,1.0,1.0,0.0,5.0
97,13.0,1.0,2.0,0.0,5.0
98,13.0,1.0,3.0,0.0,5.0
99,13.0,1.0,4.0,0.0,2.0
100,13.0,2.0,0.0,0.0,4.0
101,13.0,2.0,1.0,0.0,4.0
102,13.0,2.0,2.0,0.0,4.0
103,13.0,2.0,3.0,0.0,4.0
104,13.0,2.0,4.0,0.0,4.0
105,13.0,3.0,0.0,0.0,4.0
106,13.0,3.0,1.0,0.0,4.0
107,13.0,3.0,2.0,0.0,4.0
108,13.0,3.0,3.0,0.0,4.0
109,13.0,3.0,4.0,0.0,4.0
110,13.0,4.0,0.0,0.0,4.0
111,13.0,4.0,1.0,0.0,4.0
112,13.0,4.0,2.0,0.0,4.0
113,13.0,4.0,3.0,0.0,4.0
114,13.0,4.0,4.0,0.0,4.0
115,13.0,5.0,0.0,0.3333333333333333,6.0
116,13.0,5.0,1.0,0.3333333333333333,6.0
117,13.0,5.0,2.0,0.3333333333333333,6.0
118,13.0,5.0,3.0,0.3333333333333333,6.0
119,13.0,5.0,4.0,0.3333333333333333,6.0
120,16.0,0.0,0.0,0.0,6.0
121,16.0,0.0,1.0,0.0,6.0
122,16.0,0.0,2.0,0.0,6.0
123,16.0,0.0,3.0,0.36363636363636365,11.0
124,16.0,0.0,4.0,0.0,6.0
125,16.0,1.0,0.0,0.0,7.0
126,16.0,1.0,1.0,0.0,7.0
127,16.0,1.0,2.0,0.0,7.0
128,16.0,1.0,3.0,0.0,7.0
129,16.0,1.0,4.0,0.0,7.0
130,16.0,2.0,0.0,0.0,5.0
131,16.0,2.0,1.0,0.0,5.0
132,16.0,2.0,2.0,0.0,5.0
133,16.0,2.0,3.0,0.0,5.0
134,16.0,2.0,4.0,0.0,5.0
135,16.0,3.0,0.0,0.0,5.0
136,16.0,3.0,1.0,0.0,5.0
137,16.0,3.0,2.0,0.0,5.0
138,16.0,3.0,3.0,0.0,5.0
139,16.0,3.0,4.0,0.0,5.0
140,16.0,4.0,0.0,0.0,5.0
141,16.0,4.0,1.0,0.0,5.0
142,16.0,4.0,2.0,0.0,5.0
143,16.0,4.0,3.0,0.0,5.0
144,16.0,4.0,4.0,0.0,5.0
145,16.0,5.0,0.0,0.0,5.0
146,16.0,5.0,1.0,0.0,5.0
147,16.0,5.0,2.0,0.0,5.0
148,16.0,5.0,3.0,0.0,5.0
149,16.0,5.0,4.0,0.0,5.0
150,19.0,0.0,0.0,0.9375,16.0
151,19.0,0.0,1.0,0.9375,16.0
152,19.0,0.0,2.0,0.9375,16.0
153,19.0,0.0,3.0,0.9375,16.0
154,19.0,0.0,4.0,0.9375,16.0
155,19.0,1.0,0.0,0.0,4.0
156,19.0,1.0,1.0,0.0,4.0
157,19.0,1.0,2.0,0.0,4.0
158,19.0,1.0,3.0,0.0,4.0
159,19.0,1.0,4.0,0.0,4.0
160,19.0,2.0,0.0,0.0,5.0
161,19.0,2.0,1.0,0.0,3.0
162,19.0,2.0,2.0,0.0,7.0
163,19.0,2.0,3.0,0.0,7.0
164,19.0,2.0,4.0,0.0,7.0
165,19.0,3.0,0.0,0.6428571428571429,14.0
166,19.0,3.0,1.0,0.0,7.0
167,19.0,3.0,2.0,0.6428571428571429,14.0
168,19.0,3.0,3.0,0.6428571428571429,14.0
169,19.0,3.0,4.0,0.0,7.0
170,19.0,4.0,0.0,0.0,3.0
171,19.0,4.0,1.0,0.0,3.0
172,19.0,4.0,2.0,0.0,3.0
173,19.0,4.0,3.0,0.0,3.0
174,19.0,4.0,4.0,0.0,3.0
175,19.0,5.0,0.0,0.25,8.0
176,19.0,5.0,1.0,0.25,8.0
177,19.0,5.0,2.0,0.0,6.0
178,19.0,5.0,3.0,0.0,6.0
179,19.0,5.0,4.0,0.0,6.0
180,22.0,0.0,0.0,0.0,5.0
181,22.0,0.0,1.0,0.0,5.0
182,22.0,0.0,2.0,0.0,5.0
183,22.0,0.0,3.0,0.0,5.0
184,22.0,0.0,4.0,0.0,5.0
185,22.0,1.0,0.0,0.0,7.0
186,22.0,1.0,1.0,0.0,7.0
187,22.0,1.0,2.0,0.0,7.0
188,22.0,1.0,3.0,0.0,7.0
189,22.0,1.0,4.0,0.0,7.0
190,22.0,2.0,0.0,0.25,12.0
191,22.0,2.0,1.0,0.5384615384615384,13.0
192,22.0,2.0,2.0,0.25,11.0
193,22.0,2.0,3.0,0.25,12.0
194,22.0,2.0,4.0,0.25,12.0
195,22.0,3.0,0.0,0.0,4.0
196,22.0,3.0,1.0,0.0,4.0
197,22.0,3.0,2.0,0.0,4.0
198,22.0,3.0,3.0,0.0,4.0
199,22.0,3.0,4.0,0.0,4.0
200,22.0,4.0,0.0,0.0,3.0
201,22.0,4.0,1.0,0.0,5.0
202,22.0,4.0,2.0,0.0,3.0
203,22.0,4.0,3.0,0.0,5.0
204,22.0,4.0,4.0,0.0,3.0
205,22.0,5.0,0.0,0.0,5.0
206,22.0,5.0,1.0,0.0,5.0
207,22.0,5.0,2.0,0.0,5.0
208,22.0,5.0,3.0,0.0,5.0
